agbtaw,3.3948440551758,0,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_1258,3.7637932300568,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_1255,3.767716884613,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_557,3.8231031894684,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
agbtaw,3.6530449390411,0,2017-05-09%2018:30:00,2017-05-22%2018:30:00
rain_noah_557,3.9379451274872,625,2017-05-09%2018:30:00,2017-05-22%2018:30:00
rain_noah_1258,4.1573059558868,625,2017-05-09%2018:30:00,2017-05-22%2018:30:00
rain_noah_1255,4.1185739040375,625,2017-05-09%2018:30:00,2017-05-22%2018:30:00
rain_noah_1258,3.7293961048126,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_1255,3.7297148704529,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
agbtaw,3.728147983551,0,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_557,3.8171830177307,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
agbtaw,3.0931949615479,0,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_557,3.55881690979,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_1258,3.6186048984528,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
rain_noah_1255,3.7395839691162,86,2017-05-21%2000:00:00,2017-05-22%2018:30:00
