bartb,"vel Velocity Alerts (Downslope)",47.6950,7
bartb,"vel Velocity Alerts (Across Slope)",48.8950,7
bartb,"dis Displacement (Downslope)",219.9200,145
bartb,"dis Displacement (Across Slope)",217.7450,145
baysb,"col  Downs",117.7500,21
baysb,"col  Acros",80.1150,21
baysb,"vel Velocity Alerts (Downslope)",57.7650,7
baysb,"vel Velocity Alerts (Across Slope)",56.3300,7
baysb,"dis Displacement (Downslope)",277.1250,145
baysb,"dis Displacement (Across Slope)",266.7350,145
baysb,"col  Downs",117.7500,21
baysb,"col  Acros",80.1150,21
baysb,"vel Velocity Alerts (Downslope)",57.7650,7
baysb,"vel Velocity Alerts (Across Slope)",56.3300,7
baysb,"dis Displacement (Downslope)",277.1250,145
baysb,"dis Displacement (Across Slope)",266.7350,145
bayta,"col  Downs",113.9900,16
bayta,"col  Acros",79.2650,16
bayta,"vel Velocity Alerts (Downslope)",60.0500,7
bayta,"vel Velocity Alerts (Across Slope)",41.9500,7
bayta,"dis Displacement (Downslope)",220.8400,145
bayta,"dis Displacement (Across Slope)",202.3850,145
bayta,"col  Downs",113.9900,16
bayta,"col  Acros",79.2650,16
bayta,"vel Velocity Alerts (Downslope)",60.0500,7
bayta,"vel Velocity Alerts (Across Slope)",41.9500,7
bayta,"dis Displacement (Downslope)",220.8400,145
bayta,"dis Displacement (Across Slope)",202.3850,145
baytc,"col  Downs",109.2650,14
baytc,"col  Acros",62.6950,14
baytc,"vel Velocity Alerts (Downslope)",60.7700,7
baytc,"vel Velocity Alerts (Across Slope)",49.9200,7
baytc,"dis Displacement (Downslope)",209.1100,145
baytc,"dis Displacement (Across Slope)",168.7200,145
baytc,"col  Downs",109.2650,14
baytc,"col  Acros",62.6950,14
baytc,"vel Velocity Alerts (Downslope)",60.7700,7
baytc,"vel Velocity Alerts (Across Slope)",49.9200,7
baytc,"dis Displacement (Downslope)",209.1100,145
baytc,"dis Displacement (Across Slope)",168.7200,145
blcb,"col  Downs",158.3500,20
blcb,"col  Acros",87.0600,20
blcb,"vel Velocity Alerts (Downslope)",67.4900,7
blcb,"vel Velocity Alerts (Across Slope)",57.0400,7
blcb,"dis Displacement (Downslope)",307.7900,145
blcb,"dis Displacement (Across Slope)",338.3650,145
blcb,"col  Downs",158.3500,20
blcb,"col  Acros",87.0600,20
blcb,"vel Velocity Alerts (Downslope)",67.4900,7
blcb,"vel Velocity Alerts (Across Slope)",57.0400,7
blcb,"dis Displacement (Downslope)",307.7900,145
blcb,"dis Displacement (Across Slope)",338.3650,145
blcsa,"col  Downs",183.5900,28
blcsa,"col  Acros",136.2750,28
blcsa,"vel Velocity Alerts (Downslope)",260.7450,7
blcsa,"vel Velocity Alerts (Across Slope)",122.0100,7
blcsa,"dis Displacement (Downslope)",768.7000,145
blcsa,"dis Displacement (Across Slope)",515.5650,145
blcsa,"col  Downs",183.5900,28
blcsa,"col  Acros",136.2750,28
blcsa,"vel Velocity Alerts (Downslope)",260.7450,7
blcsa,"vel Velocity Alerts (Across Slope)",122.0100,7
blcsa,"dis Displacement (Downslope)",768.7000,145
blcsa,"dis Displacement (Across Slope)",515.5650,145
blcsb,"col  Downs",186.7100,21
blcsb,"col  Acros",110.4500,21
blcsb,"vel Velocity Alerts (Downslope)",100.3500,7
blcsb,"vel Velocity Alerts (Across Slope)",111.9550,7
blcsb,"dis Displacement (Downslope)",470.3950,145
blcsb,"dis Displacement (Across Slope)",480.5500,145
blcsb,"col  Downs",186.7100,21
blcsb,"col  Acros",110.4500,21
blcsb,"vel Velocity Alerts (Downslope)",100.3500,7
blcsb,"vel Velocity Alerts (Across Slope)",111.9550,7
blcsb,"dis Displacement (Downslope)",470.3950,145
blcsb,"dis Displacement (Across Slope)",480.5500,145
blct,"col  Downs",189.0450,25
blct,"col  Acros",127.2050,25
blct,"vel Velocity Alerts (Downslope)",142.4750,7
blct,"vel Velocity Alerts (Across Slope)",115.7800,7
blct,"dis Displacement (Downslope)",588.5800,145
blct,"dis Displacement (Across Slope)",517.0500,145
blct,"col  Downs",189.0450,25
