pngta,8.5334191322327,8224,n,2017-12-12%2011:30:00
pngtb,9.4064021110535,9869,n,2017-12-12%2011:30:00
pngtc,5.6977460384369,6579,n,2017-12-12%2011:30:00
pugb,4.7019798755646,3618,n,2017-11-25%2011:30:00
pugt,5.4588029384613,4934,n,2017-11-25%2011:30:00
sagta,7.970715045929,6579,n,2017-11-22%2011:30:00
sagtb,8.0830688476562,6908,n,2017-11-22%2011:30:00
sibta,26.358486890793,3618,n,2017-11-25%2011:30:00
sibtb,23.453676939011,3618,n,2017-11-25%2011:30:00
sinb,38.806438922882,9869,n,2017-11-22%2011:30:00
sinsa,32.686017990112,10198,n,2017-11-22%2011:30:00
sint,17.454082012177,9540,n,2017-11-22%2011:30:00
sintb,9.6926629543304,8553,n,2017-11-22%2011:30:00
sinu,6.7826550006866,9869,n,2017-11-22%2011:30:00
sumta,7.3715751171112,5263,n,2017-11-24%2011:30:00
sumtb,5.1983110904694,5263,n,2017-11-24%2011:30:00
sumtc,1.8399410247803,0,n,2017-11-24%2011:30:00
talsa,6.8598039150238,7566,n,2017-12-12%2011:30:00
taltb,6.3302178382874,10198,n,2017-12-12%2011:30:00
tgata,5.5518288612366,10198,n,2017-11-22%2011:30:00
tgatb,9.1344728469849,10198,n,2017-11-22%2011:30:00
tueta,9.9884188175201,10856,n,2017-11-22%2011:30:00
tuetb,9.8613150119781,10856,n,2017-11-22%2011:30:00
umita,5.4719932079315,6908,n,2017-11-22%2011:30:00
